#,RefDes,Name,Value,Quantity,Vendor,Vendor Part No.
1,J1,3.5mm Jack WQP-PJ301M-12 2HP,,1,WQP,WQP-PJ301M-12
2,J2,3.5mm Jack WQP-PJ301M-12 2HP,,1,WQP,WQP-PJ301M-12
3,J3,3.5mm Jack WQP-PJ301M-12 2HP,,1,WQP,WQP-PJ301M-12
4,J4,3.5mm Jack WQP-PJ301M-12 2HP,,1,WQP,WQP-PJ301M-12
7,R1,Bourns Lighted Slide Pot PTL Series ,10k,1,Mouser,652-PTL20-10O0-103B2
8,R2,Bourns Lighted Slide Pot PTL Series ,10k,1,Mouser,652-PTL20-10O0-103B2
9,R3,Bourns Lighted Slide Pot PTL Series ,10k,1,Mouser,652-PTL20-10O0-103B2
10,R4,Bourns Lighted Slide Pot PTL Series ,10k,1,Mouser,652-PTL20-10O0-103B2
11,SW1,LED-Switch SM102 ON-ON,,1,LED-Switch,SM103
12,SW2,LED-Switch SM102 ON-ON,,1,LED-Switch,SM103
